"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 23 10:52:55 MDT 2022","Sun Oct 23 10:52:59 MDT 2022","3190","","Text Input Test","","Text Input Test","Enter text input and check on button","Enter text input and check on button",""
"passed","Sun Oct 23 10:52:47 MDT 2022","Sun Oct 23 10:52:48 MDT 2022","1202","","UI Test Playground","","UI Test Playground","Reach home page with correct URL","Reach home page with correct URL",""
"passed","Sun Oct 23 10:52:58 MDT 2022","Sun Oct 23 10:53:02 MDT 2022","3924","","SampleApp Test","","SampleApp Test","Sample app testing page for valid logins","Sample app testing page for valid logins",""
"passed","Sun Oct 23 10:53:02 MDT 2022","Sun Oct 23 10:53:04 MDT 2022","1927","","SampleApp Test","","SampleApp Test","Sample app testing page for invalid logins","Sample app testing page for invalid logins",""
"passed","Sun Oct 23 10:52:57 MDT 2022","Sun Oct 23 10:52:59 MDT 2022","2088","","Scroll Bars Test","","Scroll Bars Test","Click on button on scroll page","Click on button on scroll page",""
"passed","Sun Oct 23 10:52:47 MDT 2022","Sun Oct 23 10:53:04 MDT 2022","17121","","Client Delay Test","","Client Delay Test","Click button on client delay page","Click button on client delay page",""
"passed","Sun Oct 23 10:52:47 MDT 2022","Sun Oct 23 10:52:49 MDT 2022","2090","","Dynamic ID Test","","Dynamic ID Test","Reach dynamic ID page with correct URL and click on button","Reach dynamic ID page with correct URL and click on button",""
"passed","Sun Oct 23 10:52:57 MDT 2022","Sun Oct 23 10:53:14 MDT 2022","17014","","Progress Bar Test","","Progress Bar Test","Stop on 75% progress bar page","Stop on 75% progress bar page",""
"passed","Sun Oct 23 10:52:47 MDT 2022","Sun Oct 23 10:52:49 MDT 2022","2287","","Class Attribute Test","","Class Attribute Test","Click blue button on class attribute page","Click blue button on class attribute page",""
"passed","Sun Oct 23 10:52:48 MDT 2022","Sun Oct 23 10:52:50 MDT 2022","2402","","DOM click Test","","DOM click Test","Reach click DOM page with correct URL and click on button","Reach click DOM page with correct URL and click on button",""
